Ind_ID,Site,Depth,Sex,Carapace_length_mm
18I_02,17I,93,F,38.8
18I_03,17I,93,F,44.5
18I_04,17I,93,F,48.3
18I_05,17I,93,F,44.3
18I_06,17I,93,F,50.4
18I_07,17I,93,F,40
18I_09,17I,93,F,36
18I_11,17I,93,M,61.1
18I_12,17I,93,M,46.5
18I_13,17I,93,M,45
18I_14,17I,93,M,56.1
18I_15,17I,93,M,53.2
18I_16,17I,93,M,55.2
18I_18,17I,93,M,46
18I_19,17I,93,M,59.5
18I_20,17I,93,M,46.2
18I_23,17I,93,M,57
18I_25,17I,93,M,45.4
18I_28,17I,93,M,36
18I_29,17I,93,M,34.5
18II_01,18II,92,M,54.5
18II_02,18II,92,M,67.7
18II_03,18II,92,M,55.4
18II_04,18II,92,M,47.9
18II_05,18II,92,M,52.6
18II_06,18II,92,M,54.3
18II_12,18II,92,M,38
18II_16,18II,92,F,44.4
18II_17,18II,92,F,46.1
18II_18,18II,92,F,51.1
18II_19,18II,92,F,47.3
18II_20,18II,92,F,41.6
18II_21,18II,92,F,42.5
18II_23,18II,92,F,36
18II_24,18II,92,F,38.6
18II_25,18II,92,F,37
18II_26,18II,92,F,36.6
18II_27,18II,92,F,52.5
9I_01,9I,530,M,
9I_02,9I,530,M,
9I_03,9I,530,F,
9I_04,9I,530,M,
9I_05,9I,530,M,
9I_07,9I,530,M,
9I_08,9I,530,F,
9I_09,9I,530,F,
9I_10,9I,530,M,
9I_11,9I,530,M,
9I_12,9I,530,M,
9I_13,9I,530,F,
9I_14,9I,530,F,
9I_19,9I,530,F,
9I_22,9I,530,F,
9I_23,9I,530,F,
9I_24,9I,530,M,
9I_25,9I,530,M,
Aeg01,Aeg,,,
Aeg02,Aeg,,,
Aeg03,Aeg,,,
Aeg08,Aeg,,,
Aeg10,Aeg,,,
Aeg11,Aeg,,,
Aeg12,Aeg,,,
Aeg13,Aeg,,,
Aeg15,Aeg,,,
Aeg17,Aeg,,,
Aeg21,Aeg,,,
Aeg23,Aeg,,,
Aeg26,Aeg,,,
Aeg28,Aeg,,,
Aeg29,Aeg,,,
Aeg31,Aeg,,,
Aeg32,Aeg,,,
Aeg35,Aeg,,,
Anc01,Anc,70,M,65.6
Anc04,Anc,70,M,52.9
Anc06,Anc,70,M,55
Anc07,Anc,70,M,57.4
Anc09,Anc,70,F,50.3
Anc10,Anc,70,M,48.8
Anc13,Anc,70,M,53.2
Anc14,Anc,70,M,48
Anc16,Anc,70,M,44.6
Anc17,Anc,70,M,52.3
Anc18,Anc,70,F,46.6
Anc19,Anc,70,F,42.3
Anc20,Anc,70,M,43.6
Anc21,Anc,70,F,48.3
Anc23,Anc,70,M,50.5
Anc24,Anc,70,M,46
Anc27,Anc,70,F,43.6
Anc29,Anc,70,F,44.1
Anc30,Anc,70,M,41.5
Anc33,Anc,70,M,39.5
Cgg01,Cgg,37.5,M,40
Cgg02,Cgg,37.5,F,37
Cgg03,Cgg,37.5,F,42
Cgg04,Cgg,37.5,M,44
Cgg05,Cgg,37.5,M,35
Cgg06,Cgg,37.5,M,42
Cgg08,Cgg,37.5,M,39
Cgg09,Cgg,37.5,M,42
Cgg10,Cgg,37.5,M,40
Cgg11,Cgg,37.5,M,38
Cgg12,Cgg,37.5,F,40
Cgg13,Cgg,37.5,M,38
Cgg14,Cgg,37.5,F,41
Cgg15,Cgg,37.5,F,36
Cgg16,Cgg,37.5,F,40
Cgg20,Cgg,37.5,F,34
Cgg21,Cgg,37.5,F,40
Cgg22,Cgg,37.5,F,36
Cgg23,Cgg,37.5,F,40
Cgg24,Cgg,37.5,F,40
Cly01,Cly,62.5,M,33.3
Cly02,Cly,62.5,M,39.5
Cly03,Cly,62.5,F,40.9
Cly04,Cly,62.5,F,43.3
Cly05,Cly,62.5,F,36.2
Cly07,Cly,62.5,F,32.9
Cly08,Cly,62.5,F,35.5
Cly09,Cly,62.5,M,40
Cly10,Cly,62.5,M,34.5
Cly11,Cly,62.5,F,31.2
Cly12,Cly,62.5,F,50.9
Cly13,Cly,62.5,F,37
Cly14,Cly,62.5,M,31.7
Cly15,Cly,62.5,F,36.4
Cly16,Cly,62.5,F,47.3
Cly17,Cly,62.5,F,39.2
Cly18,Cly,62.5,F,38.2
Cly20,Cly,62.5,M,29.7
Cly24,Cly,62.5,M,37.2
Pom19_01,Pom2,232.5,M,52
Pom19_02,Pom2,232.5,M,47
Pom19_03,Pom2,232.5,M,39
Pom19_04,Pom2,232.5,M,35
Pom19_05,Pom2,232.5,M,34
Pom19_06,Pom2,232.5,M,29
Pom19_07,Pom2,232.5,M,27
Pom19_08,Pom2,232.5,M,21
Pom19_09,Pom2,232.5,M,20
Pom19_10,Pom2,232.5,M,41
Pom19_11,Pom2,232.5,F,33
Pom19_12,Pom2,232.5,F,29
Pom19_13,Pom2,232.5,F,31
Pom19_14,Pom2,232.5,F,28
Pom19_15,Pom2,232.5,F,24
Pom19_16,Pom2,232.5,F,23
Pom19_17,Pom2,232.5,F,22
Pom19_18,Pom2,232.5,F,21
Pom19_20,Pom2,232.5,F,20
Pom19_21,Pom3,175,F,25
Pom19_22,Pom3,175,F,26
Pom19_23,Pom3,175,F,30
Pom19_24,Pom3,175,F,20
Pom19_25,Pom3,175,F,21
Pom19_26,Pom3,175,F,27
Pom19_27,Pom3,175,F,23
Pom19_28,Pom3,175,F,18
Pom19_29,Pom3,175,F,28
Pom19_30,Pom3,175,F,24
Pom19_32,Pom3,175,M,46
Pom19_33,Pom3,175,M,41
Pom19_34,Pom3,175,M,30
Pom19_35,Pom3,175,M,47
Pom19_36,Pom3,175,M,42
Pom19_37,Pom3,175,M,23
Pom19_38,Pom3,175,M,39
Pom19_39,Pom3,175,M,25
Pom19_40,Pom3,175,M,34
PomIII_05,Pom1,216,M,28
PomIII_13,Pom1,216,M,35
PomIII_14,Pom1,216,M,32
PomIII_15,Pom1,216,F,31
PomIII_16,Pom1,216,M,30
PomIII_17,Pom1,216,F,30
PomIII_18,Pom1,216,M,32
PomIII_19,Pom1,216,F,26
PomIII_20,Pom1,216,F,26
PomIII_21,Pom1,216,M,24
PomIII_22,Pom1,216,F,25
PomIII_23,Pom1,216,F,24
PomIII_24,Pom1,216,M,25
PomIII_26,Pom1,216,M,22
PomIII_27,Pom1,216,F,26
PomIII_28,Pom1,216,F,32
PomIII_31,Pom1,216,M,20
PomIII_33,Pom1,216,M,20
PomIII_36,Pom1,216,M,21
